AA,14.67
AA,15.29
AA,15.82
AA,15.87
AA,15.92
AA,15.95
AA,15.96
AA,16.18
AA,16.19
AA,16.36
AA,16.38
AA,16.58
AA,16.71
AA,16.73
AA,16.81
AA,16.94
AA,16.98
AA,17.00
AA,17.13
AA,17.16
AA,17.27
AA,17.33
AA,17.39
AA,17.42
AA,18.06
AXP,43.30
AXP,43.73
AXP,43.86
AXP,43.86
AXP,43.96
AXP,44.13
AXP,44.20
AXP,44.75
AXP,44.94
AXP,45.54
AXP,45.61
AXP,45.85
AXP,46.03
AXP,46.05
AXP,46.36
AXP,46.42
AXP,47.19
AXP,47.96
AXP,48.35
AXP,49.13
AXP,49.37
AXP,49.42
AXP,50.06
AXP,50.74
AXP,51.39
BA,66.15
BA,69.26
BA,69.42
BA,70.29
BA,70.86
BA,71.17
BA,71.43
BA,71.52
BA,71.60
BA,72.35
BA,72.47
BA,72.70
BA,72.72
BA,73.06
BA,73.38
BA,73.50
BA,73.65
BA,73.96
BA,74.76
BA,75.51
BA,76.55
BA,77.80
BA,78.66
BA,79.31
BA,80.35
BAC,10.59
BAC,10.89
BAC,11.18
BAC,11.47
BAC,11.87
BAC,11.89
BAC,12.28
BAC,12.32
BAC,12.36
BAC,12.59
BAC,13.40
BAC,13.42
BAC,13.50
BAC,13.71
BAC,13.85
BAC,14.17
BAC,14.18
BAC,14.20
BAC,14.25
BAC,14.26
BAC,14.27
BAC,14.38
BAC,14.51
BAC,14.77
BAC,15.08
CAT,100.25
CAT,101.30
CAT,102.59
CAT,102.72
CAT,103.42
CAT,103.56
CAT,104.86
CAT,105.58
CAT,105.87
CAT,106.41
CAT,106.90
CAT,109.24
CAT,109.54
CAT,110.02
CAT,110.80
CAT,113.75
CAT,116.24
CAT,92.71
CAT,93.21
CAT,94.16
CAT,94.38
CAT,96.13
CAT,96.49
CAT,96.93
CAT,99.62
CSCO,14.94
CSCO,15.14
CSCO,16.04
CSCO,16.41
CSCO,16.59
CSCO,16.82
CSCO,16.88
CSCO,16.93
CSCO,17.01
CSCO,17.34
CSCO,17.36
CSCO,17.51
CSCO,17.53
CSCO,17.71
CSCO,17.81
CSCO,18.36
CSCO,18.62
CSCO,18.73
CSCO,18.84
CSCO,20.45
CSCO,20.84
CSCO,20.93
CSCO,20.94
CSCO,21.22
CSCO,22.11
CVX,100.04
CVX,100.90
CVX,101.13
CVX,102.03
CVX,102.28
CVX,103.25
CVX,103.86
CVX,104.12
CVX,104.61
CVX,104.95
CVX,106.40
CVX,107.37
CVX,108.52
CVX,109.48
CVX,109.74
CVX,90.95
CVX,91.66
CVX,92.94
CVX,93.85
CVX,93.89
CVX,95.50
CVX,97.28
CVX,98.88
CVX,99.16
CVX,99.23
DD,48.30
DD,48.44
DD,49.50
DD,49.53
DD,50.03
DD,50.05
DD,50.15
DD,50.30
DD,51.75
DD,52.62
DD,52.74
DD,53.18
DD,53.18
DD,53.80
DD,54.10
DD,54.11
DD,54.22
DD,54.28
DD,54.44
DD,54.94
DD,54.95
DD,55.45
DD,55.50
DD,55.69
DD,56.42
DIS,37.74
DIS,37.85
DIS,38.63
DIS,39.01
DIS,39.04
DIS,39.07
DIS,39.18
DIS,39.64
DIS,40.80
DIS,40.97
DIS,41.15
DIS,41.26
DIS,41.46
DIS,41.76
DIS,41.90
DIS,42.34
DIS,42.64
DIS,42.83
DIS,42.87
DIS,43.02
DIS,43.19
DIS,43.19
DIS,43.32
DIS,43.47
DIS,43.53
GE,18.31
GE,18.34
GE,18.49
GE,18.61
GE,18.71
GE,18.98
GE,19.32
GE,19.68
GE,19.68
GE,19.77
GE,19.81
GE,19.85
GE,19.93
GE,19.96
GE,19.97
GE,20.13
GE,20.14
GE,20.24
GE,20.40
GE,20.70
GE,20.73
GE,20.77
